
ENTRY
N 71 NOF

1 3.0 2.846551
2 8.0 2.857414
3 13.0 2.884272
4 18.0 2.9607
5 23.0 3.065599
6 28.0 3.186535
7 33.0 3.284856
8 38.0 3.351794
9 43.0 3.387593
10 48.0 3.428134
11 53.0 3.460017
12 58.0 3.529105
13 63.0 3.668322
14 68.0 3.785199
15 73.0 3.893222
16 78.0 4.02348
17 83.0 4.120093
18 88.0 4.232798
19 93.0 4.387891
20 98.0 4.570245
21 103.0 4.784725
22 108.0 5.029117
23 113.0 5.222824
24 118.0 5.439599
25 123.0 5.726581
26 128.0 5.942801
27 133.0 6.172964
28 138.0 6.235359
29 143.0 6.583446
30 148.0 6.428074
31 153.0 6.363406
32 158.0 6.67969
33 163.0 6.323912
34 168.0 6.20334
35 173.0 6.34333
36 178.0 6.172964
37 183.0 5.963224
38 188.0 5.885447
39 193.0 5.740681
40 198.0 5.55796
41 203.0 5.418522
42 208.0 5.234848
43 213.0 5.109422
44 218.0 4.943373
45 223.0 4.681985
46 228.0 4.470404
47 233.0 4.263793
48 238.0 4.115488
49 243.0 3.945582
50 248.0 3.807135
51 253.0 3.660825
52 258.0 3.532009
53 263.0 3.448008
54 268.0 3.371966
55 273.0 3.318155
56 278.0 3.277345
57 283.0 3.232107
58 288.0 3.162746
59 293.0 3.065521
60 298.0 2.965155
61 303.0 2.886226
62 308.0 2.846659
63 313.0 2.821883
64 318.0 2.824108
65 323.0 2.870159
66 328.0 2.93154
67 333.0 2.950606
68 338.0 2.946068
69 343.0 2.938539
70 348.0 2.916693
71 353.0 2.887609
