
ENTRY
N 71 NOF

1 3.0 18.062805
2 8.0 18.062805
3 13.0 18.062805
4 18.0 18.062805
5 23.0 18.062805
6 28.0 18.062805
7 33.0 18.062805
8 38.0 18.062805
9 43.0 18.062805
10 48.0 9.031402
11 53.0 18.062805
12 58.0 18.062805
13 63.0 18.062805
14 68.0 18.062805
15 73.0 9.031402
16 78.0 9.031402
17 83.0 6.515444
18 88.0 4.454895
19 93.0 3.708667
20 98.0 3.388063
21 103.0 3.337001
22 108.0 3.155411
23 113.0 3.25275
24 118.0 3.088158
25 123.0 3.036405
26 128.0 2.787496
27 133.0 2.431161
28 138.0 2.485788
29 143.0 2.656854
30 148.0 2.623149
31 153.0 2.528467
32 158.0 2.565874
33 163.0 2.67363
34 168.0 2.729541
35 173.0 2.911413
36 178.0 3.10708
37 183.0 2.943828
38 188.0 2.940544
39 193.0 2.847013
40 198.0 2.834848
41 203.0 3.090523
42 208.0 3.36481
43 213.0 3.578937
44 218.0 3.630033
45 223.0 3.860514
46 228.0 4.438437
47 233.0 5.345219
48 238.0 6.144311
49 243.0 6.738877
50 248.0 7.079608
51 253.0 7.319724
52 258.0 7.389475
53 263.0 7.730206
54 268.0 8.078293
55 273.0 8.210439
56 278.0 8.380804
57 283.0 8.620921
58 288.0 8.620921
59 293.0 8.620921
60 298.0 18.062805
61 303.0 18.062805
62 308.0 18.062805
63 313.0 8.620921
64 318.0 18.062805
65 323.0 18.062805
66 328.0 18.062805
67 333.0 9.031402
68 338.0 18.062805
69 343.0 18.062805
70 348.0 18.062805
71 353.0 18.062805
