
ENTRY
N 71 NOF

1 3.0 2.640691
2 8.0 2.642625
3 13.0 2.667314
4 18.0 2.718952
5 23.0 2.811829
6 28.0 2.921783
7 33.0 3.016881
8 38.0 3.122684
9 43.0 3.201836
10 48.0 3.312123
11 53.0 3.446402
12 58.0 3.636932
13 63.0 3.826222
14 68.0 4.016851
15 73.0 4.196094
16 78.0 4.308675
17 83.0 4.429309
18 88.0 4.438083
19 93.0 4.413683
20 98.0 4.338474
21 103.0 4.146438
22 108.0 4.02081
23 113.0 3.894011
24 118.0 3.799115
25 123.0 3.777656
26 128.0 3.769546
27 133.0 3.835735
28 138.0 3.926974
29 143.0 4.078326
30 148.0 4.223415
31 153.0 4.443734
32 158.0 4.631107
33 163.0 4.884165
34 168.0 5.064281
35 173.0 5.335261
36 178.0 5.522936
37 183.0 5.580886
38 188.0 5.41748
39 193.0 4.96642
40 198.0 4.64348
41 203.0 4.338474
42 208.0 4.148898
43 213.0 4.036506
44 218.0 3.925282
45 223.0 3.940344
46 228.0 3.975705
47 233.0 3.971304
48 238.0 3.934136
49 243.0 3.861267
50 248.0 3.720687
51 253.0 3.554464
52 258.0 3.461037
53 263.0 3.409907
54 268.0 3.411609
55 273.0 3.494369
56 278.0 3.636102
57 283.0 3.781886
58 288.0 3.950485
59 293.0 4.057681
60 298.0 3.999358
61 303.0 4.009013
62 308.0 3.900458
63 313.0 3.769806
64 318.0 3.603418
65 323.0 3.389727
66 328.0 3.190585
67 333.0 3.014771
68 338.0 2.881058
69 343.0 2.768967
70 348.0 2.700422
71 353.0 2.673364
