
ENTRY
N 71 NOF

1 3.0 18.062805
2 8.0 18.062805
3 13.0 18.062805
4 18.0 18.062805
5 23.0 18.062805
6 28.0 18.062805
7 33.0 18.062805
8 38.0 18.062805
9 43.0 18.062805
10 48.0 18.062805
11 53.0 18.062805
12 58.0 18.062805
13 63.0 18.062805
14 68.0 18.062805
15 73.0 18.062805
16 78.0 18.062805
17 83.0 18.062805
18 88.0 8.380804
19 93.0 5.104712
20 98.0 3.598444
21 103.0 3.123922
22 108.0 2.867151
23 113.0 2.502078
24 118.0 2.576547
25 123.0 2.700279
26 128.0 2.820249
27 133.0 2.873147
28 138.0 2.725028
29 143.0 2.461521
30 148.0 2.406427
31 153.0 2.619458
32 158.0 2.700886
33 163.0 2.951047
34 168.0 2.921644
35 173.0 2.712531
36 178.0 2.520178
37 183.0 2.673875
38 188.0 3.152425
39 193.0 3.500588
40 198.0 3.490013
41 203.0 3.392383
42 208.0 3.823556
43 213.0 5.008312
44 218.0 6.414565
45 223.0 9.031402
46 228.0 18.062805
47 233.0 18.062805
48 238.0 18.062805
49 243.0 18.062805
50 248.0 18.062805
51 253.0 18.062805
52 258.0 18.062805
53 263.0 18.062805
54 268.0 18.062805
55 273.0 18.062805
56 278.0 18.062805
57 283.0 18.062805
58 288.0 18.062805
59 293.0 18.062805
60 298.0 18.062805
61 303.0 18.062805
62 308.0 18.062805
63 313.0 18.062805
64 318.0 18.062805
65 323.0 18.062805
66 328.0 18.062805
67 333.0 18.062805
68 338.0 18.062805
69 343.0 18.062805
70 348.0 18.062805
71 353.0 18.062805
